tweetid,text,originaltext,sentiment,sentimentposscore,sentimentnegscore,sentimentneuscore,sentimentmixedscore
1.03257644754043E+018,Tanzania:Unilever Invests Over U.S.$43 Million in Tanzania in Four Years https://t.co/W1dAAR84ol ALLAFRICA,,NEUTRAL,0.002,0.001,0.998,0
1.03257644765367E+018,Win free essentials and gift vouchers when you shop at Keells Super! Buy from selected Unilever products and win yo… https://t.co/CFDkzesNA5,,NEUTRAL,0.116,0,0.883,0.001
1.03257888030403E+018,#Unilever lures in Coca Cola #Director with #global e-commerce #role https://t.co/S0CC3UMwnQ @globalcosmetics,,NEUTRAL,0.002,0,0.998,0
1.03260506816662E+018,@Unilever Project Development - Lunch &amp; Learn @enactusIreland @BusinessAtUL @dogpatchlabs #EnactusTLS18 #WeAllWin https://t.co/H9smHNtlEk,,NEUTRAL,0.014,0,0.986,0
1.03259010419437E+018,New #263Chat Article: Unilever Responds To Typhoid Outbreak In Gweru https://t.co/K1ot5trsGS #Twimbos #Zimbabwe,,NEUTRAL,0.009,0.001,0.988,0.001
1.032585709432E+018,"*""بایئکاٹ لسٹ""*
۔ 

1- Shell Petrolium
2- Philips
3- Unilever

(1) CloseUp
(2) Dove
(3) Knor
(4) LifeBoy
(5) Lipton… https://t.co/0ebJcqdONF",,NEUTRAL,0.006,0.001,0.992,0.001
1.032585833726E+018,#TheGuardianNews THE Unilever Tea Tanzania says it has invested a total of 100bn/- in various tea development proje… https://t.co/zddoMYQQ30,,NEUTRAL,0.016,0.002,0.981,0.001
1.03257672230939E+018,@SMeprog @TheWorldsLesson @Unilever @UNICEFEducation @UNICEFKenya We will be in touch cc @WambuiLola,,NEUTRAL,0.048,0,0.95,0.001
1.0325768991411E+018,RT @AnjaliMenonFilm: @HUL_News @itz_vb @DettolIndia Wonderful! Thank you so much @HUL_News You are making a difference.,,POSITIVE,0.869,0,0.129,0.002
1.03258858709789E+018,"844 million people around the world STILL don't have access to clean water.
 
We've partnered with @Diageo, @GapInc… https://t.co/tgfyJfA3BC",,NEUTRAL,0.14,0.012,0.838,0.01
1.03258873599988E+018,Unilever Invests Over 100 Billion Tanzania in Four Years https://t.co/NYGzR1YTqf https://t.co/0XrU9sjuLD,,NEUTRAL,0.011,0,0.989,0
1.03260851471016E+018,"RT @unseenvalue: “If a business earns 18% ROCE for 20-30 years, even if you pay an expensive looking price, you will end up with one hell o…",,NEUTRAL,0.086,0.024,0.862,0.028
1.03257722101641E+018,Tanzania:Unilever Invests Over U.S.$43 Million in Tanzania in Four Years | Khalil Humam - https://t.co/t46dyXLtmh,,NEUTRAL,0.003,0.001,0.996,0
1.0326004083243E+018,RT @Ribeiro_Michele: How Unilever Developed a New EVP and Employer Brand - Link Humans https://t.co/JqR5c4McZi via @linkhumans,,NEUTRAL,0.001,0,0.999,0
1.03258676149771E+018,#Unilever lures in Coca Cola #Director with #global e-commerce #role https://t.co/bIA8PSqIs1  @globalcosmetics,,NEUTRAL,0.002,0,0.998,0
