tweetid,entity,type,score
1.03259139932834E+018,@barend_g,PERSON,0.9856207371
1.03259139932834E+018,Unilever,ORGANIZATION,0.8472938538
1.03257672230939E+018,@Unilever,PERSON,0.8705061078
1.03257672230939E+018,@WambuiLola,PERSON,0.9723994732
1.03257672230939E+018,@UNICEFKenya,PERSON,0.9705444574
1.03257672230939E+018,@SMeprog,PERSON,0.8828625679
1.03257672230939E+018,@UNICEFEducation,PERSON,0.8679778576
1.03257672230939E+018,@TheWorldsLesson,PERSON,0.932710588
1.0325768991411E+018,@HUL_News,PERSON,0.8277676702
1.0325768991411E+018,@HUL_News,ORGANIZATION,0.8813043833
1.0325768991411E+018,@itz_vb,PERSON,0.9822695851
1.0325768991411E+018,@AnjaliMenonFilm,PERSON,0.9458203912
1.0325768991411E+018,@DettolIndia,PERSON,0.9444223046
1.03257780183104E+018,https://t.co/CHFHsuHHhf,OTHER,0.8280840516
1.03257780183104E+018,@Unilever,ORGANIZATION,0.7983118892
1.03257780183104E+018,#PalmOil,TITLE,0.4068063498
1.03257780183104E+018,https://t.co/GSBPCv5BgP,OTHER,0.9999625683
1.03257780183104E+018,@Nestle,ORGANIZATION,0.8575481772
1.0325779268422E+018,Zacks,ORGANIZATION,0.7427403927
1.0325779268422E+018,https://t.co/NasCoQrlr7,OTHER,0.9998580217
1.0325779268422E+018,Unilever,ORGANIZATION,0.4931896925
1.03257750701761E+018,https://t.co/8LLHZjO5Zi,OTHER,0.9999300241
1.03259355151386E+018,@JaapJansen,PERSON,0.9833727479
1.03259355151386E+018,Mark Rutte,PERSON,0.9895714521
1.03259355151386E+018,@…,PERSON,0.7080672979
1.03259355151386E+018,@MinPres,PERSON,0.6795202494
1.03259355151386E+018,Edith Schippers,PERSON,0.9939733148
1.03259355151386E+018,@EdithSchippernl,PERSON,0.9180732369
1.03259355151386E+018,@BNR,ORGANIZATION,0.6542413235
1.03259355151386E+018,@christenunie,PERSON,0.9823308587
1.03259355151386E+018,@d66 ⁦,PERSON,0.9470501542
1.03259355151386E+018,https://t.co/6XJNeN25U6,OTHER,0.9776979089
1.03259299044175E+018,@Diageo_News,ORGANIZATION,0.8451715708
1.03259299044175E+018,844 million people,QUANTITY,0.7978664041
1.03259299044175E+018,@GapInc,ORGANIZATION,0.8078474402
1.03259299044175E+018,@Unilever,ORGANIZATION,0.9806292057
1.03259299044175E+018,https://t.co/hfnYCdoiQp,OTHER,0.9994094372
1.03260139593608E+018,Unilever,ORGANIZATION,0.9197827578
1.03260139593608E+018,Merc,ORGANIZATION,0.5831604004
1.03260139593608E+018,https://t.co/vCsA4Pn1Wk,OTHER,0.9999630451
1.03260139593608E+018,India Inc,ORGANIZATION,0.9833320975
1.03260851471016E+018,30 years,QUANTITY,0.9964143634
1.03260851471016E+018,18%,QUANTITY,0.8269331455
1.03260851471016E+018,20,QUANTITY,0.9208692908
1.03260851471016E+018,@unseenvalue,PERSON,0.9462388754
1.0325757373568E+018,https://t.co/VKh5pw1PqM,OTHER,0.9999843836
1.0325757373568E+018,2018,DATE,0.9980455637
1.0325757373568E+018,Unilever,ORGANIZATION,0.8769649267
